name,handle,platform,followers,lane,fit_product,focus,angle,contact_email,contact_method,source_url,notes
"Mix with Will (William Lee Meyrick)",@mixwithwill,YouTube,"~unverified (new channel, est. under 5K)",A,De-Sipper,"Vocal mixing breakdowns and before/after examples from real client sessions; Copenhagen-based vocal mixer","Let him A/B De-Sipper vs his current de-esser on a real client rap/pop vocal",williamleemeyrick@gmail.com,"Email published on mixwithwill.com homepage",https://mixwithwill.com/,"Channel ID UCWMGK7KLHjCNFhWIS12gwYg; site says 400+ mixes for indie artists; sub count not indexed by third parties"
"BChillMix (Byron Hill)",@bchillmix,YouTube,"~unverified (weekly uploads since 2016; est. 20K-50K)",A,De-Sipper,"Weekly how-to-mix rap and R&B vocals, Pro Tools templates, vocal presets; Atlanta mix engineer","Feature De-Sipper inside a rap vocal chain video and bundle a discount code with his presets",,"Contact form at https://bchillmix.com/pages/contact (no email published)",https://bchillmix.com/,"Fiverr Pro engineer with 1700+ reviews; strong fit for vocal-chain content"
DXT3R,@dxt3r_lab,YouTube,13.6K,A,De-Sipper,"R&B and hip-hop mixing and mastering tutorials; collaborates with plugin developers","He already works with plugin devs; pitch a De-Sipper vs stock de-esser shootout on R&B vocals",,"Contact form at https://dxt3r.com/#contact ; Instagram @dxt3r_lab",https://dxt3r.com/,"HypeAuditor Sep 2026: 13,554 subs"
"Dee Kei Mixes (Mixing Music Podcast)",@DeeKeiMixes,YouTube,5.7K,A,Carbonator,"Mixing Music podcast clips and vocal mixing tips from Dee Kei and Lu (Keyshia Cole, Trey Songz credits); NoHo studio","Offer full bundle for a podcast segment on cheap indie plugins that punch above their price",deekeimixes@gmail.com,"Email in YouTube About page",https://www.youtube.com/@DeeKeiMixes/about,"Podcast has 600 episodes and 4.9 rating; YouTube views modest (~240/video)"
"Jesse Ray Ernster",@jesseraymix,YouTube,9.5K,A,Carbonator,"Grammy-winning mixer (Doja Cat, Burna Boy) posting vocal mix walkthroughs and masterclass teasers","Prestige seed: ask him to try Carbonator flavors on a pop/hip-hop vocal bus for a short",,"YouTube About page business email button (no email published)",https://www.youtube.com/@jesseraymix/about,"HypeAuditor Sep 2026: 9,465 subs; also Puremix mentor"
mixedbyyeldo,@mixedbyyeldo,YouTube,12.2K,A,De-Sipper,"FL Studio / Pro Tools / Studio One vocal mixing tutorials, Filipino hip-hop; sells mixing templates","De-Sipper walkthrough inside his FL Studio vocal template series",mixedbyyeldo@gmail.com,"Email in YouTube About page; Linktree https://linktr.ee/mixedbyyeldo",https://www.youtube.com/@MixedByYeldo/about,"Last upload about 6 months before Sep 2026; verify activity before outreach"
"Rys Up Audio",@rysupaudio,YouTube,3.4K,A,De-Sipper,"Vocal mixing tutorials and blog guides (best de-esser plugins, vocal presets); uploads ~weekly","They publish de-esser roundups; ask for De-Sipper to be added to the next roundup and blog",,"No email found; use site contact via https://rysupaudio.com or YouTube About business email button",https://rysupaudio.com/blogs/news/best-vocal-de-esser-plugins,"HypeAuditor Sep 2026: 3,361 subs, 1.5% monthly growth; small but exactly on-topic"
"Ric and Thadeus",@ricandthadeusmusic,YouTube,89K,A,De-Sipper,"FL Studio rap vocal recording/mixing tutorials, vocal templates and beats for indie artists","Free license for a 'mix rap vocals in FL with $20 plugins' video plus code for their artist audience",,"Contact form at https://www.ricandthadeusonline.com/contact ; phone 270-498-4552 on site",https://www.ricandthadeusonline.com/blog/how-to-record-and-mix-rap-vocals-in-fl-studio-2026-guide,"HypeAuditor Sep 2026: 89,349 subs, 24.5K avg views"
"Billy Hume (Freaking Out With Billy Hume)",@freakingoutwithbillyhume,YouTube,135K,A,Carbonator,"Grammy-winning Atlanta hip-hop producer/mixer (Lil Jon, Ying Yang Twins) posting daily studio and career videos","Veteran-engineer take on cheap saturation; Carbonator flavors on 808s and rap vocals",contactbillyhume@gmail.com,"Email published on billyhume.net",https://billyhume.net/,"Over 100K but posts daily with 5% engagement; TikTok @billyhumeproducer"
"Mastered by Lu (Luis Moreno)",@MasteredbyLu,YouTube,~unverified,A,On Tap,"LA mix/master engineer (RIAA Gold), co-host of Mixing Music podcast, free Pro Tools vocal template","Transient shaping on rap drums with On Tap in a quick tip clip; also TikTok @masteredbylu",,"Quote/contact Google Form via https://linktr.ee/masteredbylu ; TikTok @masteredbylu",https://linktr.ee/masteredbylu,"Sub count not indexed; treat as secondary to Dee Kei (same studio)"
"Project Feelz",@ProjectFeelz,YouTube,~unverified,A,De-Sipper,"FL Studio vocal presets and 'mix and go' plugin alternative guides on Gumroad and YouTube","They publish cheap-plugin-alternative lists; get the bundle into their next list",,"No email found; YouTube About business email button; Gumroad https://projectfeelz.gumroad.com",https://projectfeelz.gumroad.com/l/mixandgopluginalternatives,"Channel ID UCRYPVLg-NFznabJFBAi-AEQ; verify size before outreach"
"Make Pop Music (Austin Hull)",@makepopmusic,YouTube,243K,A,De-Sipper,"Pop/R&B/melodic hip-hop production and vocal mixing tutorials; regularly features third-party plugins","Above target size but known for plugin features; pitch De-Sipper in an R&B vocal chain video",support@makepopmusic.com,"Email on makepopmusic.com contact page; project form http://www.austinhull.com/contact",https://www.makepopmusic.com/contact,"Feedspot lists 243K subs; only include if you want one larger anchor in lane A"
"Dylan Droll",@dylan_droll,YouTube,~unverified (small),A,Carbonator,"Tampa acoustic-rap artist and mix engineer publishing rap vocal mixing guides (Pro Tools, Waves) and tutorials","Small but writes rap vocal chain guides; offer bundle for a '2026 rap vocal chain under $100' post",contact@dylandroll.com,"Email published on dylandroll.com",https://dylandroll.com/,"YouTube youtube.com/c/dylandroll, IG @droll, TikTok @dylan_droll; size not verified"
"Dj Cutman (GameChops)",@djcutman,YouTube,96K,B,TALLBOY,"Video game music / chiptune / lofi producer and DJ, founder of GameChops, host of This Week in Chiptune","Natural TALLBOY demo: Game Boy vocal chops and SFX in a VGM lofi flip; audience is exactly retro-game producers",,"Contact form on https://djcutman.com (general/production/booking); IG @videogamedj; TikTok @djcutman",https://djcutman.com/,"HypeAuditor Sep 2026: 96,003 subs"
chipzel,@chipzel,YouTube,"34.6K YT; IG 8.9K; TikTok 7.1K",B,TALLBOY,"BAFTA-nominated Game Boy/LSDJ composer (Super Hexagon, Dicey Dungeons); LSDJ tutorials and shorts","Have a real LSDJ artist judge TALLBOY's Game Boy authenticity; short-form demo on TikTok/IG",mgmt@chipzel.co.uk,"Management email published on chipzel.co.uk",https://chipzel.co.uk/,"Linktree https://linktr.ee/chipzel; strongest credibility pick for lane B"
